stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
Old people are wise,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Old people are wise,Yoruba * Ibibio *
Young people are smart,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Young people are smart,Yoruba * Ibibio *
Young people are reckless,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Young people are reckless,Yoruba * Ibibio *
Young people are fun,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Young people are fun,Yoruba * Ibibio *
Old people are boring,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Old people are boring,Yoruba * Ibibio *
Old people (women) are witches,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Old people (women) are witches,Yoruba * Ibibio *
Lawyers are argumentative,profession,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Lawyers are argumentative,Yoruba * Ibibio *
Doctors aren't good listeners,profession,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,nl,Doctors aren't good listeners,Yoruba * Ibibio *
Skitmakers are secret money launderers,profession,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,no,Skitmakers are secret money launderers,Yoruba * Ibibio *
[Female] content creators are secret sex workers,profession,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,[Female] content creators are secret sex workers,Yoruba * Ibibio *
Women are more emotionally intelligent,women,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,Women are more emotionally intelligent,Black
women are more mature,women,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,women are more mature,Black
women are more caring,women,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,women are more caring,Black
Men will be men,men,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,de,Men will be men,Black
men are less emotional,men,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,fr,men are less emotional,Black
men are less crazy,men,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,fr,men are less crazy,Black
men are more rational,men,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,it,men are more rational,Black
Canadians are nice,ethnicity_region,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,ca,Canadians are nice,Black
Americans are stupid,ethnicity_region,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,Americans are stupid,Black
Muslims are hypocrites,religion,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,Muslims are hypocrites,Black
Christians are controlling,religion,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,Christians are controlling,Black
Young people are lazy,age,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,Young people are lazy,Black
old people can't use technology,age,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,old people can't use technology,Black
young people don't want to work anymore,age,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,young people don't want to work anymore,Black
tech people know everything,profession,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,tech people know everything,Black
accountants are boring,profession,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,en,accountants are boring,Black
Na	70.30.230.86	Canada	Saint-Lambert		Pending,profession,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,id,Na	70.30.230.86	Canada	Saint-Lambert		Pending,Black
AfriStereo Survey 	-OQiHIQrMbbnbtzV_-xB					6 mn	5/20/2025,profession,6,Male *,26–35 *,Employed *,Finance *,Christianity  *,Canada *,Canadian *,af,AfriStereo Survey 	-OQiHIQrMbbnbtzV_-xB					6 mn	5/20/2025,Black
Women are weak,women,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,nl,Women are weak,Luhya * Luo *
women are vulnerable,women,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,en,women are vulnerable,Luhya * Luo *
women are emotional,women,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,en,women are emotional,Luhya * Luo *
Men are selfish,men,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,no,Men are selfish,Luhya * Luo *
men are enduring,men,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,da,men are enduring,Luhya * Luo *
men are hunters and providers,men,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,no,men are hunters and providers,Luhya * Luo *
People from Central are greedy,ethnicity_region,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,en,People from Central are greedy,Luhya * Luo *
People from Eastern are witches,ethnicity_region,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,en,People from Eastern are witches,Luhya * Luo *
people from nyanza are prideful,ethnicity_region,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,it,people from nyanza are prideful,Luhya * Luo *
Christians are judgmental,religion,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,fr,Christians are judgmental,Luhya * Luo *
Muslims are conservative,religion,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,en,Muslims are conservative,Luhya * Luo *
Young people are innovative,age,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,en,Young people are innovative,Luhya * Luo *
Sales people are persuasive,profession,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,ca,Sales people are persuasive,Luhya * Luo *
no,misc,7,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Kenya  *,Kenyan *,tl,no,Luhya * Luo *
les femmes parlent fort,women,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Women speak loudly,les bretons !
les femmes sont têtues,women,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Women are stubborn,les bretons !
les femmes sont le porte monnaie de la maison,women,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Women are the wallet of the house,les bretons !
les femmes sont résiliantes,women,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Women are terminated,les bretons !
les hommes sont grands,men,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Men are tall,les bretons !
les hommes sont sportifs,men,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Men are athletic,les bretons !
les hommes mariés ne sont pas sportifs,men,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,married men are not athletic,les bretons !
les hommes sont lents,men,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Men are slow,les bretons !
les lébous sont des pêcheurs,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Lébous are fishermen,les bretons !
les diolas sont petits,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The diolas are small,les bretons !
les peuls sont très grands,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The Fulani are very large,les bretons !
les peuls sont des nomades,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Fulani are nomads,les bretons !
les peuls sont éleveurs,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Fulani are breeders,les bretons !
les sénégalais ne se dévoilent pas,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The Senegalese are not revealed,les bretons !
les 2eme femmes sont les favorites,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The 2nd women are the favorites,les bretons !
les griots sont des artistes,ethnicity_region,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,griots are artists,les bretons !
les musulmans sont bien habillés le vendredi,religion,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Muslims are well dressed on Friday,les bretons !
les chrétiens vont à l'église,religion,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Christians go to church,les bretons !
les anémistes ont des rites de passage,religion,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Anemists have rites of passage,les bretons !
les jeunes sont obsédés par la réussite et l'argent,age,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Young people are obsessed with success and money,les bretons !
les jeunes sont sur les réseaux toute la journée,age,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Young people are on the networks all day,les bretons !
les personnes âgées font du diabète,age,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The elderly do diabetes,les bretons !
les personnes âgées sont respectées,age,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,the elderly are respected,les bretons !
les travailleurs du gouvernement sont corrompus,profession,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,government workers are corrupt,les bretons !
les chauffeurs de taxi sont malpolis,profession,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Taxi drivers are malpolis,les bretons !
les chauffeurs de taxi sont des chauffards,profession,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Taxi drivers are drivers,les bretons !
les sage-femmes sont rustres,profession,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,midwives are rustic,les bretons !
les sage-femmes font peur,profession,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The midwives are scary,les bretons !
les sénégalais ne disent jamais vraiment ce qu'ils pensent,misc,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,Senegalese never really say what they think,les bretons !
les sénégalais ne sont pas très festifs,misc,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The Senegalese are not very festive,les bretons !
les sénégalais sont résiliants,misc,8,Female  *,26–35 *,Self-employed *,,Atheism  *,Senegal *,française *,fr,The Senegalese are terminating,les bretons !
Women are calm,women,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,ro,Women are calm,Idoma *
women are gentle,women,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,nl,women are gentle,Idoma *
women are hardworking,women,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,af,women are hardworking,Idoma *
women are Godly,women,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,women are Godly,Idoma *
women are home-makers,women,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,nl,women are home-makers,Idoma *
women are caring,women,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,women are caring,Idoma *
Men are providers,men,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,da,Men are providers,Idoma *
men are hardworking,men,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,nl,men are hardworking,Idoma *
men are strong,men,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,no,men are strong,Idoma *
men are wise,men,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,nl,men are wise,Idoma *
People from Hausa are laid-back,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,People from Hausa are laid-back,Idoma *
people from Hausa are loyal,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Hausa are loyal,Idoma *
people from Hausa are religious,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Hausa are religious,Idoma *
people from hausa are fanatics,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from hausa are fanatics,Idoma *
people from Hausa are politically-savvy,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Hausa are politically-savvy,Idoma *
people from Hausa are hospitable,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Hausa are hospitable,Idoma *
people from Hausa are strong,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Hausa are strong,Idoma *
people from Igbo are hardworking,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Igbo are hardworking,Idoma *
People from Igbo are industrious,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,People from Igbo are industrious,Idoma *
people from Igbo are educated,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Igbo are educated,Idoma *
people from Igbo are greedy,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Igbo are greedy,Idoma *
people from Igbo are noisy,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Igbo are noisy,Idoma *
people from Igbo are loud,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Igbo are loud,Idoma *
people from yoruba are artistic,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from yoruba are artistic,Idoma *
people from yoruba are loud,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,ro,people from yoruba are loud,Idoma *
people from yoruba are intelligent,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from yoruba are intelligent,Idoma *
people from Nigeria are confident,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,people from Nigeria are confident,Idoma *
people from Nigeria are resilient,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,ro,people from Nigeria are resilient,Idoma *
people from Nigeria are determined,ethnicity_region,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,da,people from Nigeria are determined,Idoma *
Moslems are fanatics,religion,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,Moslems are fanatics,Idoma *
moslems are honest,religion,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,moslems are honest,Idoma *
Christians are hospitable,religion,9,Male *,Over 50 *,Employed *,Oil and gas  *,Christianity  *,Nigeria *,Nigerian *,en,Christians are hospitable,Idoma *
